,county,fips,Neighbors,Neighbor Code
2707,"Somerset County, NJ",34035,"Hunterdon County, NJ, Mercer County, NJ, Middlesex County, NJ, Morris County, NJ, Somerset County, NJ, Union County, NJ","34019, 34021, 34023, 34027, 34035, 34039"
2708,"Somerset County, PA",42111,"Allegany County, MD, Garrett County, MD, Bedford County, PA, Cambria County, PA, Fayette County, PA, Somerset County, PA, Westmoreland County, PA","24001, 24023, 42009, 42021, 42051, 42111, 42129"
2709,"Somervell County, TX",48425,"Bosque County, TX, Erath County, TX, Hood County, TX, Johnson County, TX, Somervell County, TX","48035, 48143, 48221, 48251, 48425"
2710,"Sonoma County, CA",06097,"Contra Costa County, CA, Lake County, CA, Marin County, CA, Mendocino County, CA, Napa County, CA, Solano County, CA, Sonoma County, CA","06013, 06033, 06041, 06045, 06055, 06095, 06097"
2711,"Southampton County, VA",51175,"Gates County, NC, Hertford County, NC, Northampton County, NC, Greensville County, VA, Isle of Wight County, VA, Southampton County, VA, Surry County, VA, Sussex County, VA, Franklin city, VA, Suffolk city, VA","37073, 37091, 37131, 51081, 51093, 51175, 51181, 51183, 51620, 51800"
2712,"Southeast Fairbanks Census Area, AK",02240,"Denali Borough, AK, Fairbanks North Star Borough, AK, Matanuska-Susitna Borough, AK, Southeast Fairbanks Census Area, AK, Valdez-Cordova Census Area, AK, Yukon-Koyukuk Census Area, AK","02068, 02090, 02170, 02240, 02261, 02290"
2713,"Spalding County, GA",13255,"Butts County, GA, Clayton County, GA, Coweta County, GA, Fayette County, GA, Henry County, GA, Lamar County, GA, Meriwether County, GA, Pike County, GA, Spalding County, GA","13035, 13063, 13077, 13113, 13151, 13171, 13199, 13231, 13255"
2714,"Spartanburg County, SC",45083,"Polk County, NC, Rutherford County, NC, Cherokee County, SC, Greenville County, SC, Laurens County, SC, Spartanburg County, SC, Union County, SC","37149, 37161, 45021, 45045, 45059, 45083, 45087"
2715,"Spencer County, IN",18147,"Dubois County, IN, Perry County, IN, Spencer County, IN, Warrick County, IN, Daviess County, KY, Hancock County, KY","18037, 18123, 18147, 18173, 21059, 21091"
2716,"Spencer County, KY",21215,"Anderson County, KY, Bullitt County, KY, Jefferson County, KY, Nelson County, KY, Shelby County, KY, Spencer County, KY","21005, 21029, 21111, 21179, 21211, 21215"
2717,"Spink County, SD",46115,"Beadle County, SD, Brown County, SD, Clark County, SD, Day County, SD, Faulk County, SD, Hand County, SD, Spink County, SD","46005, 46013, 46025, 46037, 46049, 46059, 46115"
2718,"Spokane County, WA",53063,"Benewah County, ID, Bonner County, ID, Kootenai County, ID, Lincoln County, WA, Pend Oreille County, WA, Spokane County, WA, Stevens County, WA, Whitman County, WA","16009, 16017, 16055, 53043, 53051, 53063, 53065, 53075"
2719,"Spotsylvania County, VA",51177,"Caroline County, VA, Culpeper County, VA, Hanover County, VA, Louisa County, VA, Orange County, VA, Spotsylvania County, VA, Stafford County, VA, Fredericksburg city, VA","51033, 51047, 51085, 51109, 51137, 51177, 51179, 51630"
